date,chi_avg,chi_2020,chi_covid
1-Mar,780,647,3
2-Mar,676.5,585,4
3-Mar,607.5,605,4
4-Mar,595.5,613,4
5-Mar,601.5,567,5
6-Mar,639,683,6
7-Mar,630.5,574,6
8-Mar,686,627,7
9-Mar,679.5,554,11
10-Mar,646.5,537,17
11-Mar,658,570,22
12-Mar,643,603,27
13-Mar,663,640,40
14-Mar,669,590,51
15-Mar,713,537,76
16-Mar,733.5,492,76
17-Mar,693.5,538,107
18-Mar,668.5,498,179
19-Mar,648,438,279
20-Mar,700,452,412
21-Mar,688,411,548
22-Mar,688,,805
23-Mar,721,,922
24-Mar,648,,1194
25-Mar,657,,1418
26-Mar,683.5,,1904
27-Mar,683.5,,2239
28-Mar,685.5,,2613
29-Mar,651,,
30-Mar,684,,
31-Mar,662.5,,
1-Apr,746.5,,
2-Apr,664,,
3-Apr,643,,
4-Apr,678.5,,
